Project Name,Unit Number,ROOMS DESCRIPTION,Size,Type ,Location
29 BLVD T1,3004,1 B/R,800 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3005,1 B/R,837 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3007,1 B/R,877 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3008,1 B/R,860 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3101,1 B/R,835 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3102,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3104,1 B/R,800 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3105,1 B/R,837 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3107,1 B/R,877 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3108,1 B/R,860 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3201,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3202,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3204,1 B/R,798 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3205,1 B/R,837 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3208,1 B/R,860 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1901,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1902,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3706,1 B/R,802 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3801,1 B/R,1056 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3802,1 B/R,1087 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3803,1 B/R,770 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3806,1 B/R,802 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3901,1 B/R,1056 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3902,1 B/R,1087 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3903,1 B/R,770 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,3906,1 B/R,802 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,604,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
